Date,Open,High,Low,Close,Volume
2022-07-12 04:00:00+00:00,383.65,386.16,378.99,380.83,63304211.0
2022-07-13 04:00:00+00:00,375.1,381.92,374.658,378.83,85453239.0
2022-07-14 04:00:00+00:00,373.61,379.0498,371.04,377.91,91022894.0
2022-07-15 04:00:00+00:00,382.55,385.25,380.54,385.13,80721517.0
2022-07-18 04:00:00+00:00,388.38,389.09,380.66,381.95,64573224.0
2022-07-19 04:00:00+00:00,386.08,392.87,385.39,392.27,80462808.0
2022-07-20 04:00:00+00:00,392.47,396.26,391.03,394.77,72028992.0
2022-07-21 04:00:00+00:00,394.16,398.84,391.63,398.79,65044042.0
2022-07-22 04:00:00+00:00,398.92,400.18,392.75,395.09,73212677.0
2022-07-25 04:00:00+00:00,395.75,396.47,393.21,395.57,54460198.0
2022-07-26 04:00:00+00:00,393.84,394.06,389.95,390.89,54110744.0
2022-07-27 04:00:00+00:00,394.36,402.88,394.05,401.04,84389399.0
2022-07-28 04:00:00+00:00,401.89,406.8,398.15,406.04,75478050.0
2022-07-29 04:00:00+00:00,407.58,413.03,406.77,411.99,88654585.0
2022-08-01 04:00:00+00:00,409.15,413.41,408.4,410.77,71138117.0
2022-08-02 04:00:00+00:00,409.12,413.0,406.82,408.06,64549577.0
2022-08-03 04:00:00+00:00,410.3,415.68,410.0,414.45,69189866.0
2022-08-04 04:00:00+00:00,414.37,415.09,412.44,414.17,46473255.0
2022-08-05 04:00:00+00:00,409.66,414.15,409.6,413.47,57663233.0
2022-08-08 04:00:00+00:00,415.25,417.62,411.83,412.99,54800278.0
2022-08-09 04:00:00+00:00,412.22,412.75,410.22,411.35,45025319.0
2022-08-10 04:00:00+00:00,418.78,420.14,416.72,419.99,70131594.0
2022-08-11 04:00:00+00:00,422.99,424.95,419.21,419.99,60543614.0
2022-08-12 04:00:00+00:00,422.03,427.21,421.03,427.1,62922310.0
2022-08-15 04:00:00+00:00,424.765,429.41,424.71,428.86,54947334.0
